"","tmax_min","tmax_max","tmax_mean","tmax_median","week_canton"
"7261",27.616583,28.565247,28.1545824285714,28.123545,"2024-15-206"
"7262",35.548912,36.132446,35.826095,35.857716,"2024-15-502"
"7263",22.451881,23.957653,23.1807918571429,23.095013,"2024-15-307"
"7264",33.876003,35.814754,34.8011372857143,34.57416,"2024-15-209"
"7265",33.113197,36.421654,35.0007362857143,35.651733,"2024-15-605"
"7266",29.028612,30.117079,29.4806395714286,29.308508,"2024-15-207"
"7267",23.499678,24.710299,24.0057041428571,24.08612,"2024-15-302"
"7268",33.551044,36.562737,35.1928121428571,35.611347,"2024-15-609"
"7269",32.186874,33.813282,32.8169808571429,32.556904,"2024-15-702"
"7270",25.697134,26.821121,26.2832127142857,26.284004,"2024-15-208"
"7271",33.65028,35.594997,34.4220845714286,33.938766,"2024-15-601"
"7272",29.64641,32.171864,30.9413018571429,31.081697,"2024-15-104"
"7273",28.15797,29.58738,28.8899441428571,28.959309,"2024-15-119"
"7274",33.1222,34.57535,33.8832808571429,34.135864,"2024-15-606"
"7275",31.962467,32.900707,32.476015,32.33725,"2024-15-216"
"7276",33.57376,34.428547,33.9815928571429,33.906055,"2024-15-210"
"7277",25.161234,26.324299,25.765974,25.697477,"2024-15-406"
"7278",27.305424,28.228445,27.7096922857143,27.69509,"2024-15-101"
"7279",31.731876,33.396004,32.4073622857143,32.273888,"2024-15-204"
"7280",26.53872,27.645151,27.1010382857143,27.043686,"2024-15-409"
"7281",25.497225,26.642948,26.0986138571429,26.056242,"2024-15-405"
"7282",29.464043,30.295835,30.0131657142857,30.055931,"2024-15-202"
"7283",27.626244,28.573849,28.0765525714286,28.11123,"2024-15-109"
"7284",25.03955,26.155554,25.6207051428571,25.574425,"2024-15-404"
"7285",35.257496,36.10186,35.5715438571429,35.485313,"2024-15-503"
"7286",26.53872,27.645151,27.1010382857143,27.043686,"2024-15-403"
"7287",32.533623,33.661133,33.1558468571429,33.013138,"2024-15-410"
"7288",25.244572,26.313437,25.8216718571429,25.846659,"2024-15-212"
"7289",30.261248,32.31835,31.2673115714286,31.017237,"2024-15-703"
"7290",25.597,27.828987,26.6943357142857,26.76681,"2024-15-704"
"7291",27.759132,29.178936,28.4424844285714,28.473324,"2024-15-105"
"7292",26.53872,27.645151,27.1010382857143,27.043686,"2024-15-113"
"7293",31.290495,32.148853,31.7595361428571,31.885109,"2024-15-508"
"7294",25.849436,27.836271,26.84028,26.837545,"2024-15-305"
"7295",31.959461,34.51263,33.1051208571429,32.943954,"2024-15-116"
"7296",34.6734,35.81063,35.3574297142857,35.383354,"2024-15-213"
"7297",23.208782,24.558512,23.8817627142857,23.802368,"2024-15-111"
"7298",26.545189,27.539717,27.1270257142857,27.11852,"2024-15-211"
"7299",34.685654,36.740425,35.629284,35.73684,"2025-15-507"
"7300",27.78374,29.247747,28.5139095714286,28.474712,"2025-15-112"
"7301",25.520468,28.460894,27.1635091428571,27.328842,"2025-15-201"
"7302",24.089058,26.188478,25.2256381428571,25.384134,"2025-15-110"
"7303",20.292034,22.955925,21.7386528571429,21.67409,"2025-15-306"
"7304",24.386293,25.636692,24.9426584285714,24.972042,"2025-15-106"
"7305",28.26131,30.880165,29.8053628571429,30.104832,"2025-15-205"
"7306",35.07292,36.79045,35.7812628571429,35.522526,"2025-15-504"
"7307",23.509892,26.2449,25.0485422857143,25.171194,"2025-15-402"
"7308",26.57411,29.2211,28.092133,28.343208,"2025-15-407"
"7309",28.394411,31.056879,29.7687758571429,30.023678,"2025-15-603"
"7310",36.00931,37.49797,36.571702,36.48063,"2025-15-505"
"7311",23.799732,25.602766,24.8129664285714,24.892506,"2025-15-301"
