"","tmin_min","tmin_max","tmin_mean","tmin_median","week_canton"
"3869",26.898254,28.565899,27.9229932857143,28.206799,"2025-8-610"
"3870",17.689722,19.6964,18.6997465714286,18.405203,"2025-8-608"
"3871",16.675062,19.803728,18.3150377142857,18.172195,"2025-8-118"
"3872",14.680149,17.931833,16.363021,16.270247,"2025-8-103"
"3873",13.95562,16.91034,15.3922012857143,15.548964,"2025-8-117"
"3874",12.255043,15.689739,13.9975940714286,13.892031,"2025-8-308"
"3875",17.638697,20.68334,19.2491261428571,19.281042,"2025-8-102"
"3876",25.697392,27.549511,26.5874351428571,26.491169,"2025-8-602"
"3877",17.807127,20.969261,19.5519895714286,19.636322,"2025-8-408"
"3878",28.91571,29.731926,29.3279342857143,29.340267,"2025-8-611"
"3879",15.036896,18.137285,16.6454948571429,16.430397,"2025-8-108"
"3880",NA,NA,NA,NA,"2025-8-607"
"3881",18.336397,21.358435,20.0578242857143,20.022854,"2025-8-203"
"3882",27.244755,28.566475,27.7464922857143,27.490559,"2025-8-215"
"3883",23.741316,25.836378,24.6450141428571,24.650976,"2025-8-706"
"3884",14.402445,17.087564,15.9098827142857,16.01924,"2025-8-401"
"3885",24.052666,25.690144,24.9390721428571,24.96718,"2025-8-511"
"3886",16.7714,20.100872,18.3568954285714,18.12546,"2025-8-304"
"3887",27.10498,28.127789,27.6268288571429,27.773556,"2025-8-510"
"3888",15.243769,18.409973,16.8856487142857,16.71231,"2025-8-303"
"3889",16.36483,19.18544,17.7429548571429,17.82375,"2025-8-120"
"3890",25.258362,27.349037,26.4254412857143,26.72622,"2025-8-501"
"3891",17.709917,20.980978,19.1208218571429,18.721786,"2025-8-701"
"3892",26.853733,28.593311,27.7235158571429,27.77959,"2025-8-214"
"3893",23.692812,26.090069,24.759479,24.276978,"2025-8-705"
"3894",16.675062,19.803728,18.3150377142857,18.172195,"2025-8-115"
"3895",21.934374,23.828289,22.8752952857143,22.742157,"2025-8-604"
"3896",19.629608,22.160654,20.9339332857143,20.96058,"2025-8-107"
"3897",16.350643,19.323307,17.9338231428571,17.774466,"2025-8-114"
"3898",24.574198,25.736954,25.0934524285714,25.076294,"2025-8-509"
"3899",18.196835,20.939116,19.7587362857143,19.727966,"2025-8-206"
"3900",23.983723,25.958096,25.0765292857143,25.019268,"2025-8-502"
"3901",14.06974,17.154764,15.6202067857143,15.530794,"2025-8-307"
"3902",26.129463,27.813559,26.9758424285714,26.920147,"2025-8-209"
"3903",26.749706,28.739124,27.8247841428571,27.671207,"2025-8-605"
"3904",18.630444,21.373596,20.1160065714286,19.98716,"2025-8-207"
"3905",13.614124,17.050163,15.3103151428571,15.115316,"2025-8-302"
"3906",28.786343,29.708195,29.2224538571429,29.20686,"2025-8-609"
"3907",25.689255,27.477013,26.68616,26.666813,"2025-8-702"
"3908",16.639103,19.545542,18.3293211428571,18.368576,"2025-8-208"
"3909",28.69021,29.473743,29.0251955714286,28.89188,"2025-8-601"
