Tipo de Campaña,Conteo,Distrito,Canton,Dia,Mes,Año,Link
Recolección de llantas,,Palmira,Carrillo,2,7,2025,https://x.com/msaludcr/status/1940047237603631322?s=21
Recolección de llantas,,Palmira,Carrillo,30,6,2025,https://x.com/msaludcr/status/1940047237603631322?s=20
Recolección de llantas,,Colorado,Abangares ,27,6,2025,https://x.com/msaludcr/status/1937874923445449103?s=20
Recolección de llantas,,Jacó,Garabito,26,6,2025,https://x.com/msaludcr/status/1937557667284943354?s=20
Fumigación,700,Zapote,San José,15,10,2024,https://x.com/msaludcr/status/1846666408857350609?s=20
Fumigación,1200,Hatillo,San José,15,10,2024,https://x.com/msaludcr/status/1846666408857350609?s=20
Aplicación de larvicidas y destrucción de criaderos,580,Hatillo,San José,15,10,2024,https://x.com/msaludcr/status/1846666408857350609?s=20
Fumigación,1850,,Alajuela,15,10,2024,https://x.com/msaludcr/status/1846666408857350609?s=20
Fumigación,765,,Turrialba,15,10,2024,https://x.com/msaludcr/status/1846666408857350609?s=20
Fumigación,,Alajuela,Alajuela,17,10,2024,https://x.com/msaludcr/status/1846585896730345528?s=20
Fumigación,1725,Alajuela,Alajuela,10,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Fumigación,475,,Santa Ana,10,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Aplicación de larvicidas y destrucción de criaderos,43,,Mora,10,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Fumigación,1600,,Alajuela,10,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Aplicación de larvicidas y destrucción de criaderos,145,,Atenas,10,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Aplicación de larvicidas y destrucción de criaderos,97,,Turrialba,10,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Fumigación,1775,Ciudad Colón,Mora,11,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Fumigación y aplicación de BTI con máquina pulverizadora,475,,Santa Ana,11,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Fumigación,225,,Atenas,11,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Aplicación de larvicidas y destrucción de criaderos,98,,Atenas,11,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Fumigación,461,,Turrialba,11,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Aplicación de larvicidas y destrucción de criaderos,71,,Turrialba,11,10,2024,https://x.com/msaludcr/status/1845857442426429447?s=20
Fumigación,1525,,Desamparados,9,10,2024,https://x.com/msaludcr/status/1844455357927534699?s=20
Fumigación,400,,Santa Ana,9,10,2024,https://x.com/msaludcr/status/1844455357927534699?s=20
Fumigación,200,,Alajuelita,9,10,2024,https://x.com/msaludcr/status/1844455357927534699?s=20
Aplicación de larvicidas y destrucción de criaderos,14,,Mora,9,10,2024,https://x.com/msaludcr/status/1844455357927534699?s=20
Fumigación,1750,,Alajuela,9,10,2024,https://x.com/msaludcr/status/1844455357927534699?s=20
Aplicación de larvicidas y destrucción de criaderos,204,,Atenas,9,10,2024,https://x.com/msaludcr/status/1844455357927534699?s=20
