"","precip_total","precip_max","precip_min","precip_mean","precip_median","week_canton"
"4942",17.308598,17.308598,0,2.47265685714286,0,"2025-2-608"
"4943",0,0,0,0,0,"2025-3-608"
"4944",7.5062322,2.2105238,0,1.07231888571429,1.2445911,"2025-4-608"
"4945",0,0,0,0,0,"2025-5-608"
"4946",11.68620734,6.6198854,0,1.66945819142857,0.88146234,"2025-6-608"
"4947",130.525494,64.69474,0,18.6464991428571,1.495709,"2025-7-608"
"4948",31.987674,15.993837,0,4.56966771428571,0,"2025-8-608"
"4949",51.5316984,29.66402,0,7.3616712,1.707313,"2025-9-608"
"4950",0,0,0,0,0,"2025-10-608"
"4951",0,0,0,0,0,"2025-11-608"
"4952",17.817701,17.817701,0,2.54538585714286,0,"2025-12-608"
"4953",136.67184,50.87982,0,19.5245485714286,22.192245,"2025-13-608"
"4954",9.0549794,4.5274897,0,1.29356848571429,0,"2025-14-608"
"4955",134.065938,53.703083,0,19.1522768571429,17.901028,"2025-15-608"
"4956",19.040049,19.040049,0,2.720007,0,"2025-16-608"
"4957",53.809099,17.436163,0,7.68701414285714,8.718081,"2025-17-608"
"4958",130.92986,38.59504,10.218692,18.7042657142857,15.328038,"2025-18-608"
"4959",79.697266,21.60534,4.5572715,11.3853237142857,10.029957,"2025-19-608"
"4960",231.480732,77.36881,9.59272,33.068676,28.77816,"2025-20-608"
"4961",143.778803,39.132347,11.996232,20.539829,20.672832,"2025-21-608"
"4962",81.550259,24.649155,0,11.650037,15.819179,"2025-22-608"
"4963",127.834683,31.638357,0,18.2620975714286,19.495516,"2025-23-608"
"4964",169.478151,41.309853,11.962728,24.2111644285714,19.495516,"2025-24-608"
"4965",122.4553894,35.911263,0,17.4936270571429,17.955631,"2025-25-608"
"4966",156.015085,44.889076,6.035163,22.2878692857143,18.105488,"2025-26-608"
"4967",105.0489593,27.263788,7.5817013,15.0069941857143,14.613372,"2025-27-608"
"4968",54.2080437,36.351715,0,7.74400624285714,0,"2025-28-608"
"4969",35.665592,35.665592,0,5.09508457142857,0,"2025-29-608"
"4970",64.1351043,18.405413,0,9.16215775714286,12.270275,"2025-30-608"
"4971",76.5212516,30.675688,0,10.9316073714286,6.1351376,"2025-31-608"
"4972",37.444528,19.151094,0,5.34921828571429,0,"2025-32-608"
"4973",101.263212,39.874073,0,14.4661731428571,17.140207,"2025-33-608"
"4974",62.778514,16.43648,0,8.96835914285714,9.968518,"2025-34-608"
"4975",62.052944,20.684315,0,8.86470628571429,10.342157,"2025-35-608"
"4976",125.62252,29.824137,0,17.9460742857143,22.3681,"2025-36-608"
"4977",70.98498,44.201206,0,10.1407114285714,0,"2025-37-608"
"4978",78.807879,37.376583,0,11.2582684285714,5.339512,"2025-38-608"
"4979",95.656509,32.071312,0,13.6652155714286,15.849847,"2025-39-608"
"4980",138.86505,47.549538,0,19.8378642857143,22.828878,"2025-40-608"
"4981",119.491069,32.718365,8.965957,17.0701527142857,13.574748,"2025-41-608"
"4982",134.886717,40.724243,0,19.269531,16.753244,"2025-42-608"
"4983",127.68918,50.334736,0,18.2413114285714,16.778244,"2025-43-608"
"4984",184.961249,41.165863,10.291466,26.4230355714286,20.582932,"2025-44-608"
"4985",41.554378,20.487886,0,5.93633971428571,5.266623,"2025-45-608"
"4986",111.397753,39.665867,0,15.9139647142857,13.221955,"2025-46-608"
"4987",40.4440303,19.827961,0,5.77771861428571,5.004519,"2025-47-608"
"4988",43.6441344,15.466704,1.1311264,6.23487634285714,4.243828,"2025-48-608"
"4989",51.848094,25.924047,0,7.40687057142857,0,"2025-49-608"
"4990",10.752154,10.752154,0,1.536022,0,"2025-50-608"
"4991",118.52261,64.51293,0,16.9318014285714,13.50242,"2025-51-608"
"4992",0,0,0,0,0,"2025-52-608"
"4993",5.9209895,5.9209895,0,1.1841979,0,"2020-1-118"
"4994",0,0,0,0,0,"2020-2-118"
"4995",0,0,0,0,0,"2020-3-118"
"4996",1.1470268,1.1470268,0,0.163860971428571,0,"2020-4-118"
"4997",1.5753601,1.5753601,0,0.225051442857143,0,"2020-5-118"
"4998",0,0,0,0,0,"2020-6-118"
"4999",0,0,0,0,0,"2020-7-118"
"5000",0,0,0,0,0,"2020-8-118"
"5001",0,0,0,0,0,"2020-9-118"
"5002",0,0,0,0,0,"2020-10-118"
"5003",0,0,0,0,0,"2020-11-118"
"5004",0,0,0,0,0,"2020-12-118"
"5005",0,0,0,0,0,"2020-13-118"
"5006",2.135784,2.135784,0,0.305112,0,"2020-14-118"
"5007",1.5293308,1.5293308,0,0.218475828571429,0,"2020-15-118"
"5008",0,0,0,0,0,"2020-16-118"
"5009",14.1231747,9.496398,0,2.01759638571429,0,"2020-17-118"
"5010",75.0828104,38.3139,0,10.7261157714286,4.0854344,"2020-18-118"
"5011",47.6731215,10.911911,0,6.81044592857143,7.2746077,"2020-19-118"
"5012",30.0125845,10.357729,0,4.28751207142857,4.8253303,"2020-20-118"
"5013",105.1529685,30.212477,4.284031,15.0218526428571,12.918924,"2020-21-118"
