,rr,week-canton,clasi_rr,clasi_rr_no_0
11436,0.0684057949888427,2023-49-301,Medio,Bajo
11437,0.0598882081833368,2023-50-301,Medio,Bajo
11438,0.1755235936404201,2023-51-301,Medio,Bajo
11439,0.0,2023-52-301,Bajo,Bajo
11440,0.1122568353347781,2024-1-301,Medio,Bajo
11441,0.043248994144969,2024-2-301,Medio,Bajo
11442,0.0,2024-3-301,Bajo,Bajo
11443,0.0,2024-4-301,Bajo,Bajo
11444,0.1116887868544663,2024-5-301,Medio,Bajo
11445,0.0669463139458149,2024-6-301,Medio,Bajo
11446,0.0,2024-7-301,Bajo,Bajo
11447,0.0791731919948052,2024-8-301,Medio,Bajo
11448,0.0,2024-9-301,Bajo,Bajo
11449,0.0,2024-10-301,Bajo,Bajo
11450,0.123729612847217,2024-11-301,Medio,Bajo
11451,0.0,2024-12-301,Bajo,Bajo
11452,0.1789742902576476,2024-13-301,Medio,Bajo
11453,0.1282602564650375,2024-14-301,Medio,Bajo
11454,0.0,2024-15-301,Bajo,Bajo
11455,0.0,2024-16-301,Bajo,Bajo
11456,0.0,2024-17-301,Bajo,Bajo
11457,0.0,2024-18-301,Bajo,Bajo
11458,0.1111910543272586,2024-19-301,Medio,Bajo
11459,0.0,2024-20-301,Bajo,Bajo
11460,0.0,2024-21-301,Bajo,Bajo
11461,0.0,2024-22-301,Bajo,Bajo
11462,0.04983770586498,2024-23-301,Medio,Bajo
11463,0.0982902731441042,2024-24-301,Medio,Bajo
11464,0.0,2024-25-301,Bajo,Bajo
11465,0.0,2024-26-301,Bajo,Bajo
11466,0.0,2024-27-301,Bajo,Bajo
11467,0.0,2024-28-301,Bajo,Bajo
11468,0.0,2024-29-301,Bajo,Bajo
11469,0.0318370460601405,2024-30-301,Medio,Bajo
11470,0.0303750505204199,2024-31-301,Medio,Bajo
11471,0.029094869226141,2024-32-301,Medio,Bajo
11472,0.0297237694615233,2024-33-301,Medio,Bajo
11473,0.0,2024-34-301,Bajo,Bajo
11474,0.0,2024-35-301,Bajo,Bajo
11475,0.0,2024-36-301,Bajo,Bajo
11476,0.0,2024-37-301,Bajo,Bajo
11477,0.0,2024-38-301,Bajo,Bajo
11478,0.0940505517733217,2024-39-301,Medio,Bajo
11479,0.0709804018153415,2024-40-301,Medio,Bajo
11480,0.0380456749847863,2024-41-301,Medio,Bajo
11481,0.0913149528319855,2024-42-301,Medio,Bajo
11482,0.162737431419931,2024-43-301,Medio,Bajo
11483,0.1635858350033293,2024-44-301,Medio,Bajo
11484,0.4580670781502795,2024-45-301,Medio,Bajo
11485,0.254593774782389,2024-46-301,Medio,Bajo
11486,0.0779882301180394,2024-47-301,Medio,Bajo
11487,0.0,2024-48-301,Bajo,Bajo
11488,0.0,2024-49-301,Bajo,Bajo
11489,0.7663012468280276,2024-50-301,Alto,Medio
11490,0.3097426119632087,2024-51-301,Medio,Bajo
11491,0.2461276694463609,2024-52-301,Medio,Bajo
11492,0.0,2025-1-301,Bajo,Bajo
11493,0.4885257255659089,2025-2-301,Medio,Bajo
11494,0.0,2025-3-301,Bajo,Bajo
11495,0.4178667677602981,2025-4-301,Medio,Bajo
11496,1.323321883880323,2025-5-301,Alto,Medio
11497,0.0,2025-6-301,Bajo,Bajo
11498,0.0,2025-7-301,Bajo,Bajo
11499,0.8823688022438078,2025-8-301,Alto,Medio
