"","week_canton","pob"
"364","2020-5-216",16730.4596092896
"365","2020-5-301",161085.065237705
"366","2020-5-302",60630.1315218579
"367","2020-5-303",111528.275196721
"368","2020-5-304",15991.9963224044
"369","2020-5-305",70174.6198797814
"370","2020-5-306",15077.0531612022
"371","2020-5-307",48243.8611912568
"372","2020-5-308",44603.894920765
"373","2020-5-401",141826.53010929
"374","2020-5-402",46664.6401010929
"375","2020-5-403",48769.9934754098
"376","2020-5-404",43209.5217923497
"377","2020-5-405",54562.8602322404
"378","2020-5-406",22822.3440765027
"379","2020-5-407",25884.9179508197
"380","2020-5-408",21297.135136612
"381","2020-5-409",30168.3419617486
"382","2020-5-410",87136.0601967213
"383","2020-5-501",76696.2696748634
"384","2020-5-502",57344.1013715847
"385","2020-5-503",68807.8174699454
"386","2020-5-504",24354.5408387978
"387","2020-5-505",46422.882715847
"388","2020-5-506",31703.6332513661
"389","2020-5-507",19910.628715847
"390","2020-5-508",24589.125715847
"391","2020-5-509",11483.2079480874
"392","2020-5-510",26281.819852459
"393","2020-5-511",7102.02651912568
"394","2020-5-601",138153.891327869
"395","2020-5-602",33617.6682021858
"396","2020-5-603",52820.275226776
"397","2020-5-604",14606.2636666667
