"","week_canton","nino34ssta_lag_8","nino34ssta_lag_7","nino34ssta_lag_6","nino34ssta_lag_5","nino34ssta_lag_4","nino34ssta_lag_3","nino34ssta_lag_2","nino34ssta_lag_1"
"15","2020-9-115",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"16","2020-9-116",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"17","2020-9-117",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"18","2020-9-118",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"19","2020-9-119",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"20","2020-9-120",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"21","2020-9-201",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"22","2020-9-202",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"23","2020-9-203",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"24","2020-9-204",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"25","2020-9-205",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"26","2020-9-206",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
"27","2020-9-207",0.53537096804218,0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382
