"","keyword","value","week_canton"
"590","aedes aegypti",0,"2020-37-214"
"591","aedes aegypti",0,"2020-37-215"
"592","aedes aegypti",0,"2020-37-216"
"593","aedes aegypti",0,"2020-38-201"
"594","aedes aegypti",0,"2020-38-202"
"595","aedes aegypti",0,"2020-38-203"
"596","aedes aegypti",0,"2020-38-204"
"597","aedes aegypti",0,"2020-38-205"
"598","aedes aegypti",0,"2020-38-206"
"599","aedes aegypti",0,"2020-38-207"
"600","aedes aegypti",0,"2020-38-208"
"601","aedes aegypti",0,"2020-38-209"
"602","aedes aegypti",0,"2020-38-210"
"603","aedes aegypti",0,"2020-38-211"
"604","aedes aegypti",0,"2020-38-212"
"605","aedes aegypti",0,"2020-38-213"
"606","aedes aegypti",0,"2020-38-214"
"607","aedes aegypti",0,"2020-38-215"
"608","aedes aegypti",0,"2020-38-216"
"609","aedes aegypti",0,"2020-39-201"
"610","aedes aegypti",0,"2020-39-202"
"611","aedes aegypti",0,"2020-39-203"
"612","aedes aegypti",0,"2020-39-204"
"613","aedes aegypti",0,"2020-39-205"
"614","aedes aegypti",0,"2020-39-206"
"615","aedes aegypti",0,"2020-39-207"
"616","aedes aegypti",0,"2020-39-208"
"617","aedes aegypti",0,"2020-39-209"
"618","aedes aegypti",0,"2020-39-210"
"619","aedes aegypti",0,"2020-39-211"
"620","aedes aegypti",0,"2020-39-212"
"621","aedes aegypti",0,"2020-39-213"
"622","aedes aegypti",0,"2020-39-214"
"623","aedes aegypti",0,"2020-39-215"
"624","aedes aegypti",0,"2020-39-216"
"625","aedes aegypti",0,"2020-40-201"
"626","aedes aegypti",0,"2020-40-202"
"627","aedes aegypti",0,"2020-40-203"
"628","aedes aegypti",0,"2020-40-204"
"629","aedes aegypti",0,"2020-40-205"
"630","aedes aegypti",0,"2020-40-206"
"631","aedes aegypti",0,"2020-40-207"
"632","aedes aegypti",0,"2020-40-208"
"633","aedes aegypti",0,"2020-40-209"
