casos,week-canton,relative_risk,classi_rr,urb,tmax_min,tmax_max,tmax_mean,tmax_median,tmin_min,tmin_max,tmin_mean,tmin_median,precip_total,precip_min,precip_max,precip_mean,precip_median
5,2025-23-201,1.9364883884951736,Alto,1,21.106577,29.62294,26.4556585357143,26.9589225,21.106577,29.62294,26.4556585357143,26.9589225,777.260071,0.0,69.66178,27.75928825,27.289616
1,2025-23-110,1.3049826989107374,Alto,1,23.619362,24.918089,24.5334041428571,24.630798,23.619362,24.918089,24.5334041428571,24.630798,172.306494,0.0,56.77682,24.6152134285714,22.71073
0,2025-23-306,0.0,Bajo,2,24.232492,25.792347,25.0172314285714,25.011843,24.232492,25.792347,25.0172314285714,25.011843,103.116254,0.0,49.064796,14.7308934285714,12.266199
0,2025-23-106,0.0,Bajo,1,25.8119,26.946445,26.4041524285714,26.498505,25.8119,26.946445,26.4041524285714,26.498505,176.623951,0.0,50.147667,25.231993,25.073833
0,2025-23-205,0.0,Bajo,1,27.286398,28.384642,27.8782967142857,27.971027,27.286398,28.384642,27.8782967142857,27.971027,232.126116,0.0,77.854034,33.1608737142857,29.705622
0,2025-23-504,0.0,Bajo,0,27.365112,34.127716,31.9900420285714,32.4278725,27.365112,34.127716,31.9900420285714,32.4278725,1379.51721,0.0,51.7392,19.7073887142857,20.48415
0,2025-23-402,0.0,Bajo,1,23.314938,25.419859,24.5955557142857,24.666931,23.314938,25.419859,24.5955557142857,24.666931,187.4116876,7.3261466,60.810425,26.7730982285714,24.32417
1,2025-23-603,2.307345468180395,Alto,0,24.029692,31.276072,28.3700664285714,28.511023,24.029692,31.276072,28.3700664285714,28.511023,2077.4708753,0.0,63.374718,15.6200817691729,12.680174
0,2025-23-505,0.0,Bajo,2,,,,,,,,,,,,,
1,2025-23-301,0.7718377606295213,Alto,1,23.92089,25.493261,24.6925045,24.75015,23.92089,25.493261,24.6925045,24.75015,229.371883,0.0,48.380867,16.3837059285714,16.281762
0,2025-23-506,0.0,Bajo,0,30.446667,33.99787,32.8193064,32.820194,30.446667,33.99787,32.8193064,32.820194,669.903998,0.0,45.90218,19.1401142285714,17.57614
0,2025-23-610,0.0,Bajo,2,29.299965,33.186783,31.7808599142857,32.464447,29.299965,33.186783,31.7808599142857,32.464447,403.2113178,0.0,32.312958,11.5203233657143,10.952971
0,2025-23-608,0.0,Bajo,2,22.533852,28.841036,26.2720177142857,26.208694,22.533852,28.841036,26.2720177142857,26.208694,906.8193685,0.0,42.200798,16.1932030089286,14.4588495
0,2025-23-117,0.0,Bajo,0,20.516714,28.295956,23.7715174761905,22.339865,20.516714,28.295956,23.7715174761905,22.339865,449.440496,0.0,51.349133,21.4019283809524,20.742008
0,2025-23-308,0.0,Bajo,1,21.743273,25.090618,23.3168724285714,23.188536,21.743273,25.090618,23.3168724285714,23.188536,254.879312,0.0,41.77231,18.2056651428571,15.6646155
