"","group","busquedas","week_canton"
"542","mobility_finance",0,"2020-2-706"
"543","water",0,"2020-2-101"
"544","water",0,"2020-2-102"
"545","water",0,"2020-2-103"
"546","water",0,"2020-2-104"
"547","water",0,"2020-2-105"
"548","water",0,"2020-2-106"
"549","water",0,"2020-2-107"
"550","water",0,"2020-2-108"
"551","water",0,"2020-2-109"
"552","water",0,"2020-2-110"
"553","water",0,"2020-2-111"
"554","water",0,"2020-2-112"
"555","water",0,"2020-2-113"
"556","water",0,"2020-2-114"
"557","water",0,"2020-2-115"
"558","water",0,"2020-2-116"
"559","water",0,"2020-2-117"
"560","water",0,"2020-2-118"
"561","water",0,"2020-2-119"
"562","water",0,"2020-2-120"
"563","water",0,"2020-2-201"
"564","water",0,"2020-2-202"
"565","water",0,"2020-2-203"
"566","water",0,"2020-2-204"
"567","water",0,"2020-2-205"
"568","water",0,"2020-2-206"
"569","water",0,"2020-2-207"
"570","water",0,"2020-2-208"
"571","water",0,"2020-2-209"
"572","water",0,"2020-2-210"
"573","water",0,"2020-2-211"
"574","water",0,"2020-2-212"
"575","water",0,"2020-2-213"
"576","water",0,"2020-2-214"
"577","water",0,"2020-2-215"
"578","water",0,"2020-2-216"
"579","water",0,"2020-2-301"
"580","water",0,"2020-2-302"
"581","water",0,"2020-2-303"
"582","water",0,"2020-2-304"
"583","water",0,"2020-2-305"
"584","water",0,"2020-2-306"
"585","water",0,"2020-2-307"
"586","water",0,"2020-2-308"
"587","water",0,"2020-2-401"
"588","water",0,"2020-2-402"
"589","water",0,"2020-2-403"
"590","water",0,"2020-2-404"
"591","water",0,"2020-2-405"
"592","water",0,"2020-2-406"
"593","water",0,"2020-2-407"
"594","water",0,"2020-2-408"
"595","water",0,"2020-2-409"
"596","water",0,"2020-2-410"
"597","water",0,"2020-2-501"
"598","water",0,"2020-2-502"
"599","water",0,"2020-2-503"
"600","water",0,"2020-2-504"
"601","water",0,"2020-2-505"
"602","water",0,"2020-2-506"
"603","water",0,"2020-2-507"
"604","water",0,"2020-2-508"
"605","water",0,"2020-2-509"
"606","water",0,"2020-2-510"
"607","water",0,"2020-2-511"
"608","water",0,"2020-2-601"
"609","water",0,"2020-2-602"
"610","water",0,"2020-2-603"
"611","water",0,"2020-2-604"
"612","water",0,"2020-2-605"
"613","water",0,"2020-2-606"
"614","water",0,"2020-2-607"
"615","water",0,"2020-2-608"
"616","water",0,"2020-2-609"
"617","water",0,"2020-2-610"
"618","water",0,"2020-2-611"
"619","water",0,"2020-2-701"
"620","water",0,"2020-2-702"
"621","water",0,"2020-2-703"
"622","water",0,"2020-2-704"
"623","water",0,"2020-2-705"
"624","water",0,"2020-2-706"
"625","dengue_spread",0,"2020-3-101"
"626","dengue_spread",0,"2020-3-102"
"627","dengue_spread",0,"2020-3-103"
"628","dengue_spread",0,"2020-3-104"
"629","dengue_spread",0,"2020-3-105"
"630","dengue_spread",0,"2020-3-106"
"631","dengue_spread",0,"2020-3-107"
"632","dengue_spread",0,"2020-3-108"
"633","dengue_spread",0,"2020-3-109"
"634","dengue_spread",0,"2020-3-110"
"635","dengue_spread",0,"2020-3-111"
"636","dengue_spread",0,"2020-3-112"
"637","dengue_spread",0,"2020-3-113"
"638","dengue_spread",0,"2020-3-114"
"639","dengue_spread",0,"2020-3-115"
"640","dengue_spread",0,"2020-3-116"
"641","dengue_spread",0,"2020-3-117"
"642","dengue_spread",0,"2020-3-118"
"643","dengue_spread",0,"2020-3-119"
"644","dengue_spread",0,"2020-3-120"
"645","dengue_spread",0,"2020-3-201"
"646","dengue_spread",0,"2020-3-202"
"647","dengue_spread",0,"2020-3-203"
"648","dengue_spread",0,"2020-3-204"
"649","dengue_spread",0,"2020-3-205"
"650","dengue_spread",0,"2020-3-206"
"651","dengue_spread",0,"2020-3-207"
"652","dengue_spread",0,"2020-3-208"
"653","dengue_spread",0,"2020-3-209"
"654","dengue_spread",0,"2020-3-210"
"655","dengue_spread",0,"2020-3-211"
"656","dengue_spread",0,"2020-3-212"
"657","dengue_spread",0,"2020-3-213"
"658","dengue_spread",0,"2020-3-214"
"659","dengue_spread",0,"2020-3-215"
"660","dengue_spread",0,"2020-3-216"
"661","dengue_spread",0,"2020-3-401"
"662","dengue_spread",0,"2020-3-402"
"663","dengue_spread",0,"2020-3-403"
"664","dengue_spread",0,"2020-3-404"
"665","dengue_spread",0,"2020-3-405"
"666","dengue_spread",0,"2020-3-406"
"667","dengue_spread",0,"2020-3-407"
"668","dengue_spread",0,"2020-3-408"
"669","dengue_spread",0,"2020-3-409"
"670","dengue_spread",0,"2020-3-410"
"671","dengue_spread",0,"2020-3-501"
"672","dengue_spread",0,"2020-3-502"
"673","dengue_spread",0,"2020-3-503"
"674","dengue_spread",0,"2020-3-504"
"675","dengue_spread",0,"2020-3-505"
"676","dengue_spread",0,"2020-3-506"
"677","dengue_spread",0,"2020-3-507"
"678","dengue_spread",0,"2020-3-508"
"679","dengue_spread",0,"2020-3-509"
"680","dengue_spread",0,"2020-3-510"
"681","dengue_spread",0,"2020-3-511"
"682","dengue_spread",0,"2020-3-601"
"683","dengue_spread",0,"2020-3-602"
"684","dengue_spread",0,"2020-3-603"
"685","dengue_spread",0,"2020-3-604"
"686","dengue_spread",0,"2020-3-605"
"687","dengue_spread",0,"2020-3-606"
"688","dengue_spread",0,"2020-3-607"
"689","dengue_spread",0,"2020-3-608"
"690","dengue_spread",0,"2020-3-609"
"691","dengue_spread",0,"2020-3-610"
"692","dengue_spread",0,"2020-3-611"
"693","dengue_spread",50.9,"2020-3-701"
"694","dengue_spread",50.9,"2020-3-702"
"695","dengue_spread",50.9,"2020-3-703"
"696","dengue_spread",50.9,"2020-3-704"
"697","dengue_spread",50.9,"2020-3-705"
"698","dengue_spread",50.9,"2020-3-706"
"699","employment",41.1,"2020-3-101"
"700","employment",41.1,"2020-3-102"
"701","employment",41.1,"2020-3-103"
"702","employment",41.1,"2020-3-104"
