"","week_canton","ndvi"
"302","2020-4-611",0.879899522742367
"303","2020-4-607",-0.3
"304","2020-4-604",0.690678856094142
"305","2020-4-605",0.832432406664828
"306","2020-4-609",0.879143526638987
"307","2020-4-601",0.816567586014211
"308","2020-4-606",0.839054955456776
"309","2020-4-112",0.757139966714961
"310","2020-4-110",0.669529868224468
"311","2020-4-106",0.794612594238649
"312","2020-4-118",0.4853264795798
"313","2020-4-103",0.758888255252485
"314","2020-4-117",0.891554702318677
"315","2020-4-102",0.427565656899312
"316","2020-4-108",0.530369521267604
"317","2020-4-120",0.828388064422929
"318","2020-4-115",0.44109532415656
"319","2020-4-107",0.821751804760863
"320","2020-4-114",0.649687259267137
"321","2020-4-119",0.742070754492248
"322","2020-4-104",0.720156150891062
"323","2020-4-101",0.51534333088843
"324","2020-4-109",0.540053116534014
"325","2020-4-105",0.849432961942887
"326","2020-4-113",0.17192649545169
"327","2020-4-116",0.907771018479973
"328","2020-4-111",0.360518604821516
"329","2020-5-201",0.877416223409417
"330","2020-5-205",0.710996301293631
"331","2020-5-203",0.667273685972893
"332","2020-5-215",0.743870128068726
"333","2020-5-214",0.743672636813445
"334","2020-5-206",0.654558040793081
"335","2020-5-209",0.417981932883239
"336","2020-5-207",0.605106182334373
"337","2020-5-208",0.707553365398793
"338","2020-5-216",0.700082685109632
"339","2020-5-210",0.764907284635924
"340","2020-5-204",0.777200024836779
"341","2020-5-202",0.464567467406745
"342","2020-5-212",0.789678640273625
"343","2020-5-213",0.667148154568865
"344","2020-5-211",0.600167892974013
"345","2020-5-306",0.743248392250181
"346","2020-5-301",0.779709454220231
"347","2020-5-308",0.880278989139779
"348","2020-5-304",0.749672182231349
"349","2020-5-303",0.487322271563928
"350","2020-5-307",0.796614832117166
"351","2020-5-302",0.867529949444725
"352","2020-5-305",0.830704363209066
"353","2020-5-507",0.590008353278831
"354","2020-5-504",0.521274138661466
"355","2020-5-506",0.568428189217483
"356","2020-5-505",0.416081375532418
"357","2020-5-511",0.620177563390769
"358","2020-5-510",0.791569909984611
"359","2020-5-501",0.372272557658501
"360","2020-5-509",0.716627414832933
