urb,week_canton
2,2020-18-511
2,2020-18-601
2,2020-18-602
0,2020-18-603
2,2020-18-604
2,2020-18-605
2,2020-18-606
0,2020-18-607
2,2020-18-608
2,2020-18-609
2,2020-18-610
0,2020-18-611
0,2020-18-701
0,2020-18-702
0,2020-18-703
0,2020-18-704
0,2020-18-705
2,2020-18-706
1,2020-19-101
1,2020-19-102
1,2020-19-103
2,2020-19-104
2,2020-19-105
1,2020-19-106
2,2020-19-107
1,2020-19-108
1,2020-19-109
1,2020-19-110
1,2020-19-111
2,2020-19-112
1,2020-19-113
1,2020-19-114
1,2020-19-115
0,2020-19-116
0,2020-19-117
1,2020-19-118
2,2020-19-119
2,2020-19-120
1,2020-19-201
2,2020-19-202
1,2020-19-203
2,2020-19-204
1,2020-19-205
1,2020-19-206
1,2020-19-207
1,2020-19-208
2,2020-19-209
2,2020-19-210
2,2020-19-211
2,2020-19-212
2,2020-19-213
0,2020-19-214
0,2020-19-215
0,2020-19-216
1,2020-19-301
2,2020-19-302
1,2020-19-303
2,2020-19-304
2,2020-19-305
2,2020-19-306
1,2020-19-307
1,2020-19-308
1,2020-19-401
1,2020-19-402
1,2020-19-403
1,2020-19-404
1,2020-19-405
1,2020-19-406
1,2020-19-407
1,2020-19-408
1,2020-19-409
0,2020-19-410
2,2020-19-501
0,2020-19-502
0,2020-19-503
0,2020-19-504
2,2020-19-505
0,2020-19-506
0,2020-19-507
0,2020-19-508
0,2020-19-509
0,2020-19-510
2,2020-19-511
2,2020-19-601
2,2020-19-602
0,2020-19-603
2,2020-19-604
2,2020-19-605
2,2020-19-606
0,2020-19-607
2,2020-19-608
2,2020-19-609
2,2020-19-610
