"","week","province","group","value"
"583","2020-26",1,"mobility_finance",43
"584","2020-26",1,"water",51.65
"585","2020-26",2,"dengue_spread",0
"586","2020-26",2,"employment",36.48
"587","2020-26",2,"mobility_finance",0
"588","2020-26",2,"water",0
"589","2020-26",3,"dengue_spread",0
"590","2020-26",3,"employment",60.72
"591","2020-26",3,"mobility_finance",0
"592","2020-26",3,"water",0
"593","2020-26",4,"dengue_spread",0
"594","2020-26",4,"employment",0
"595","2020-26",4,"mobility_finance",0
"596","2020-26",4,"water",0
"597","2020-26",5,"dengue_spread",0
"598","2020-26",5,"employment",0
"599","2020-26",5,"mobility_finance",0
"600","2020-26",5,"water",0
"601","2020-26",6,"dengue_spread",0
"602","2020-26",6,"employment",0
"603","2020-26",6,"mobility_finance",0
"604","2020-26",6,"water",0
"605","2020-26",7,"dengue_spread",0
"606","2020-26",7,"employment",73.04
"607","2020-26",7,"mobility_finance",0
"608","2020-26",7,"water",0
"609","2020-27",0,"dengue_spread",5.27
"610","2020-27",0,"employment",32.03
"611","2020-27",0,"mobility_finance",0
"612","2020-27",0,"water",0
"613","2020-27",1,"dengue_spread",13.48
"614","2020-27",1,"employment",17.27
"615","2020-27",1,"mobility_finance",0
"616","2020-27",1,"water",0
"617","2020-27",2,"dengue_spread",0
"618","2020-27",2,"employment",34.25
"619","2020-27",2,"mobility_finance",0
"620","2020-27",2,"water",0
"621","2020-27",3,"dengue_spread",0
"622","2020-27",3,"employment",0
"623","2020-27",3,"mobility_finance",0
"624","2020-27",3,"water",0
"625","2020-27",4,"dengue_spread",0
"626","2020-27",4,"employment",39.89
"627","2020-27",4,"mobility_finance",0
"628","2020-27",4,"water",0
"629","2020-27",5,"dengue_spread",0
"630","2020-27",5,"employment",0
"631","2020-27",5,"mobility_finance",0
"632","2020-27",5,"water",0
"633","2020-27",6,"dengue_spread",0
"634","2020-27",6,"employment",0
"635","2020-27",6,"mobility_finance",0
"636","2020-27",6,"water",0
"637","2020-27",7,"dengue_spread",0
"638","2020-27",7,"employment",0
"639","2020-27",7,"mobility_finance",0
"640","2020-27",7,"water",0
"641","2020-28",0,"dengue_spread",7.64
"642","2020-28",0,"employment",36.87
"643","2020-28",0,"mobility_finance",8.04
"644","2020-28",0,"water",0
"645","2020-28",1,"dengue_spread",0
