"","keyword","value","province","week"
"439","aedes_aegypti",0,2,"2022-23"
"440","aedes_aegypti",0,2,"2022-24"
"441","aedes_aegypti",0,2,"2022-25"
"442","aedes_aegypti",0,2,"2022-26"
"443","aedes_aegypti",0,2,"2022-27"
"444","aedes_aegypti",0,2,"2022-28"
"445","aedes_aegypti",0,2,"2022-29"
"446","aedes_aegypti",0,2,"2022-30"
"447","aedes_aegypti",0,2,"2022-31"
"448","aedes_aegypti",0,2,"2022-32"
"449","aedes_aegypti",0,2,"2022-33"
"450","aedes_aegypti",0,2,"2022-34"
"451","aedes_aegypti",0,2,"2022-35"
"452","aedes_aegypti",0,2,"2022-36"
"453","aedes_aegypti",0,2,"2022-37"
"454","aedes_aegypti",0,2,"2022-38"
"455","aedes_aegypti",0,2,"2022-39"
"456","aedes_aegypti",0,2,"2022-40"
"457","aedes_aegypti",0,2,"2022-41"
"458","aedes_aegypti",0,2,"2022-42"
"459","aedes_aegypti",0,2,"2022-43"
"460","aedes_aegypti",0,2,"2022-44"
"461","aedes_aegypti",0,2,"2022-45"
"462","aedes_aegypti",0,2,"2022-46"
"463","aedes_aegypti",0,2,"2022-47"
"464","aedes_aegypti",0,2,"2022-48"
"465","aedes_aegypti",0,2,"2022-49"
"466","aedes_aegypti",0,2,"2022-50"
"467","aedes_aegypti",0,2,"2022-51"
"468","aedes_aegypti",0,2,"2022-52"
"469","aedes_aegypti",0,2,"2023-1"
"470","aedes_aegypti",0,2,"2023-2"
"471","aedes_aegypti",0,2,"2023-3"
"472","aedes_aegypti",0,2,"2023-4"
"473","aedes_aegypti",0,2,"2023-5"
"474","aedes_aegypti",0,2,"2023-6"
"475","aedes_aegypti",0,2,"2023-7"
"476","aedes_aegypti",59,2,"2023-8"
"477","aedes_aegypti",0,2,"2023-9"
"478","aedes_aegypti",0,2,"2023-10"
"479","aedes_aegypti",0,2,"2023-11"
"480","aedes_aegypti",0,2,"2023-12"
"481","aedes_aegypti",0,2,"2023-13"
"482","aedes_aegypti",0,2,"2023-14"
"483","aedes_aegypti",0,2,"2023-15"
"484","aedes_aegypti",0,2,"2023-16"
"485","aedes_aegypti",0,2,"2023-17"
"486","aedes_aegypti",0,2,"2023-18"
"487","aedes_aegypti",0,2,"2023-19"
"488","aedes_aegypti",0,2,"2023-20"
"489","aedes_aegypti",0,2,"2023-21"
"490","aedes_aegypti",0,2,"2023-22"
"491","aedes_aegypti",0,2,"2023-23"
"492","aedes_aegypti",0,2,"2023-24"
"493","aedes_aegypti",0,2,"2023-25"
"494","aedes_aegypti",0,2,"2023-26"
"495","aedes_aegypti",0,2,"2023-27"
"496","aedes_aegypti",0,2,"2023-28"
"497","aedes_aegypti",0,2,"2023-29"
"498","aedes_aegypti",0,2,"2023-30"
"499","aedes_aegypti",0,2,"2023-31"
"500","aedes_aegypti",0,2,"2023-32"
"501","aedes_aegypti",0,2,"2023-33"
"502","aedes_aegypti",0,2,"2023-34"
"503","aedes_aegypti",0,2,"2023-35"
"504","aedes_aegypti",0,2,"2023-36"
"505","aedes_aegypti",0,2,"2023-37"
"506","aedes_aegypti",0,2,"2023-38"
"507","aedes_aegypti",0,2,"2023-39"
"508","aedes_aegypti",0,2,"2023-40"
"509","aedes_aegypti",0,2,"2023-41"
"510","aedes_aegypti",0,2,"2023-42"
"511","aedes_aegypti",0,2,"2023-43"
"512","aedes_aegypti",0,2,"2023-44"
"513","aedes_aegypti",0,2,"2023-45"
"514","aedes_aegypti",0,2,"2023-46"
"515","aedes_aegypti",0,2,"2023-47"
"516","aedes_aegypti",0,2,"2023-48"
"517","aedes_aegypti",0,2,"2023-49"
"518","aedes_aegypti",0,2,"2023-50"
"519","aedes_aegypti",0,2,"2023-51"
"520","aedes_aegypti",0,2,"2023-52"
"521","aedes_aegypti",0,2,"2024-1"
"522","aedes_aegypti",0,2,"2024-2"
"523","aedes_aegypti",0,2,"2024-3"
"524","aedes_aegypti",0,2,"2024-4"
"525","aedes_aegypti",0,2,"2024-5"
"526","aedes_aegypti",0,2,"2024-6"
"527","aedes_aegypti",0,2,"2024-7"
"528","aedes_aegypti",0,2,"2024-8"
"529","aedes_aegypti",0,2,"2024-9"
"530","aedes_aegypti",0,2,"2024-10"
"531","aedes_aegypti",0,2,"2024-11"
